words,attribution,abs_attribution
*,-2.9928366316896777e-05,2.9928366316896777e-05
95,-1.629335939381999e-05,1.629335939381999e-05
##w,2.6320999595255553e-06,2.6320999595255553e-06
.,7.900572506771327e-06,7.900572506771327e-06
invest,2.4902972031567927e-05,2.4902972031567927e-05
:,-1.1776105818058021e-05,1.1776105818058021e-05
best,-4.8114884767581655e-05,4.8114884767581655e-05
status,-2.203221259555429e-05,2.203221259555429e-05
from,-1.6407157312419863e-05,1.6407157312419863e-05
nrl,6.1040778334729714e-06,6.1040778334729714e-06
:,-1.1776105818058021e-05,1.1776105818058021e-05
15,-1.5817923616779088e-05,1.5817923616779088e-05
k,5.728583597339769e-06,5.728583597339769e-06
##ts,1.2110428159323179e-06,1.2110428159323179e-06
101,2.127158451617212e-05,2.127158451617212e-05
##0,1.256881910882589e-05,1.256881910882589e-05
##mb,-4.600766514121123e-06,4.600766514121123e-06
:,-1.1776105818058021e-05,1.1776105818058021e-05
95,-1.629335939381999e-05,1.629335939381999e-05
##w,2.6320999595255553e-06,2.6320999595255553e-06
.,7.900572506771327e-06,7.900572506771327e-06
invest,2.4902972031567927e-05,2.4902972031567927e-05
first,-2.098746449619112e-06,2.098746449619112e-06
appeared,-1.3215537462294452e-05,1.3215537462294452e-05
2007,5.321981935895402e-06,5.321981935895402e-06
-,-1.1633631916303481e-05,1.1633631916303481e-05
08,-1.4967722733145113e-05,1.4967722733145113e-05
-,-1.1633631916303481e-05,1.1633631916303481e-05
29,7.733084942259918e-06,7.733084942259918e-06
",",-4.121179854555905e-06,4.121179854555905e-06
04,3.7626106936477823e-06,3.7626106936477823e-06
##30,-3.662273116706648e-05,3.662273116706648e-05
##z,-1.4371893928374824e-05,1.4371893928374824e-05
16,1.289339632233503e-06,1.289339632233503e-06
.,7.900572506771327e-06,7.900572506771327e-06
8,-2.119661330310739e-05,2.119661330310739e-05
##n,-6.735870461891705e-07,6.735870461891705e-07
119,-3.048730355609406e-05,3.048730355609406e-05
.,7.900572506771327e-06,7.900572506771327e-06
2,-2.118119309819749e-06,2.118119309819749e-06
##e,1.636650699873514e-05,1.636650699873514e-05
.,7.900572506771327e-06,7.900572506771327e-06
`,3.4670037304957622e-06,3.4670037304957622e-06
=,1.2625809502913156e-05,1.2625809502913156e-05
=,1.2625809502913156e-05,1.2625809502913156e-05
brand,-9.06428376266646e-06,9.06428376266646e-06
names,-7.024471919344465e-06,7.024471919344465e-06
=,1.2625809502913156e-05,1.2625809502913156e-05
=,1.2625809502913156e-05,1.2625809502913156e-05
does,-1.1488339905968832e-05,1.1488339905968832e-05
not,-1.3352446172655398e-05,1.3352446172655398e-05
`,3.4670037304957622e-06,3.4670037304957622e-06
`,3.4670037304957622e-06,3.4670037304957622e-06
for,-1.331909609829788e-05,1.331909609829788e-05
##fo,3.351547555071631e-06,3.351547555071631e-06
##ur,2.0526425448375167e-06,2.0526425448375167e-06
`,3.4670037304957622e-06,3.4670037304957622e-06
`,3.4670037304957622e-06,3.4670037304957622e-06
in,-6.173890797461439e-06,6.173890797461439e-06
##fr,5.378076341362166e-06,5.378076341362166e-06
##inge,5.187548744999726e-06,5.187548744999726e-06
on,-8.09624375782615e-06,8.09624375782615e-06
morgan,2.014901484507861e-06,2.014901484507861e-06
##s,-8.295203712138407e-06,8.295203712138407e-06
4,-1.714950703899817e-07,1.714950703899817e-07
/,-3.4459718172954932e-06,3.4459718172954932e-06
