words,attribution,abs_attribution
hello,-2.4790483709462085e-06,2.4790483709462085e-06
hello,-2.4790483709462085e-06,2.4790483709462085e-06
mr,-0.00019002722007193718,0.00019002722007193718
##fa,-0.0005840519569551624,0.0005840519569551624
##von,0.00016344434707083082,0.00016344434707083082
##ian,-0.0002886520783642847,0.0002886520783642847
don,0.00013181067985173876,0.00013181067985173876
##t,-0.0005666888304793666,0.0005666888304793666
care,0.00016247861074831292,0.00016247861074831292
block,7.193596274240273e-05,7.193596274240273e-05
afraid,0.000140865717858306,0.000140865717858306
block,7.193596274240273e-05,7.193596274240273e-05
afraid,0.000140865717858306,0.000140865717858306
allah,0.00013299801053317156,0.00013299801053317156
far,0.0005917542844671931,0.0005917542844671931
remain,-0.0009875490973459192,0.0009875490973459192
last,-0.0009539286708684135,0.0009539286708684135
drop,-0.0001506285401417464,0.0001506285401417464
blood,0.0007102629009112574,0.0007102629009112574
let,-0.0001173697252093366,0.0001173697252093366
meet,-9.826150349575377e-05,9.826150349575377e-05
beer,3.7099373845047264e-05,3.7099373845047264e-05
name,-8.447034682761734e-05,8.447034682761734e-05
place,-5.636856918808059e-05,5.636856918808059e-05
time,-1.6967047158609813e-05,1.6967047158609813e-05
thought,-0.0002568358737977918,0.0002568358737977918
know,-0.0001739711212016409,0.0001739711212016409
matter,-0.00014043981065540987,0.00014043981065540987
rai,-3.4198846803152724e-06,3.4198846803152724e-06
##s,0.00031083433964734363,0.00031083433964734363
page,-7.26149298278513e-05,7.26149298278513e-05
utc,-0.03437378773568325,0.03437378773568325
rev,-0.04357485854317902,0.04357485854317902
##is,0.001271341796612713,0.001271341796612713
up,0.0025784614213558844,0.0025784614213558844
##da,-0.012934802663733667,0.012934802663733667
##t,-0.12368602733435632,0.12368602733435632
far,-0.016588111912896036,0.016588111912896036
tell,-0.021823020924699715,0.021823020924699715
hen,0.00599184964317755,0.00599184964317755
w,0.008797969696337504,0.008797969696337504
##lad,-0.007073932433420116,0.007073932433420116
nh,-0.00047266522674549856,0.00047266522674549856
##ada,0.0027979835384448525,0.0027979835384448525
##u,-0.009724241521662203,0.009724241521662203
appear,-0.006815481938222861,0.006815481938222861
list,-0.0060068979041594086,0.0060068979041594086
anthem,0.0043461322659586,0.0043461322659586
nation,0.0006216233497121119,0.0006216233497121119
other,0.010884500317707036,0.010884500317707036
##wi,-0.0030134178002401073,0.0030134178002401073
##s,-0.012471466987858155,0.012471466987858155
link,-0.017483778239648157,0.017483778239648157
given,-0.006551169727417648,0.006551169727417648
take,-0.0047688577486130115,0.0047688577486130115
list,-0.0060068979041594086,0.0060068979041594086
anthem,0.0043461322659586,0.0043461322659586
member,-0.0038071234884236253,0.0038071234884236253
state,-0.007160238126362517,0.007160238126362517
mention,-0.0053194613842588254,0.0053194613842588254
nation,0.0006216233497121119,0.0006216233497121119
anthem,0.0043461322659586,0.0043461322659586
lit,-0.008821294942269409,0.008821294942269409
##tl,-0.0036366509579178006,0.0036366509579178006
gem,-0.002796500765858144,0.002796500765858144
part,-0.013183942654882016,0.013183942654882016
state,-0.007160238126362517,0.007160238126362517
soviet,-0.010765172470703457,0.010765172470703457
union,-0.005285332053569165,0.005285332053569165
unit,-0.012658473257590955,0.012658473257590955
kingdom,-0.013520830002643888,0.013520830002643888
amongst,-0.007627294381748599,0.007627294381748599
other,0.010884500317707036,0.010884500317707036
notion,-0.005739377648894568,0.005739377648894568
held,-0.002166059002152036,0.002166059002152036
union,-0.005285332053569165,0.005285332053569165
mani,-0.009533395198161163,0.009533395198161163
nation,0.0006216233497121119,0.0006216233497121119
var,-0.003279395435074692,0.003279395435074692
##io,-0.0025746878946439023,0.0025746878946439023
##u,-0.009724241521662203,0.009724241521662203
def,0.001391331364353839,0.001391331364353839
##ini,-0.0027097427869523663,0.0027097427869523663
##t,-0.12368602733435632,0.12368602733435632
differ,-0.0051398634596136715,0.0051398634596136715
nation,0.0006216233497121119,0.0006216233497121119
may,-0.012856824004385769,0.012856824004385769
nation,0.0006216233497121119,0.0006216233497121119
anthem,0.0043461322659586,0.0043461322659586
song,-0.004986164923518285,0.004986164923518285
may,-0.012856824004385769,0.012856824004385769
off,-0.012483755976315306,0.012483755976315306
##ici,-0.011990262597984132,0.011990262597984132
rec,-0.002243265219043444,0.002243265219043444
##og,-0.0013272796828891435,0.0013272796828891435
anti,-0.04061898789186717,0.04061898789186717
##se,0.12282963465354786,0.12282963465354786
##mit,-0.039015557604983424,0.039015557604983424
would,-0.32094735196641294,0.32094735196641294
even,-0.17817063876475767,0.17817063876475767
get,-0.025176636267010465,0.025176636267010465
some,-0.0763669638829179,0.0763669638829179
##on,-0.02467705268397646,0.02467705268397646
say,0.01974055918174505,0.01974055918174505
baptist,0.01999111096785448,0.01999111096785448
georgia,0.006547186322754752,0.006547186322754752
southern,-0.05191684938705324,0.05191684938705324
baptist,0.01999111096785448,0.01999111096785448
church,-0.1789877620223794,0.1789877620223794
anti,-0.04061898789186717,0.04061898789186717
##christ,0.09885133785698758,0.09885133785698758
##ian,0.06599092575504281,0.06599092575504281
acc,0.05130786110887716,0.05130786110887716
##ur,0.07668603541668045,0.07668603541668045
label,-0.003573707002409922,0.003573707002409922
southern,-0.05191684938705324,0.05191684938705324
baptist,0.01999111096785448,0.01999111096785448
correct,-0.015815967264425766,0.015815967264425766
answer,0.010112793502573188,0.010112793502573188
bern,-0.08874148090932844,0.08874148090932844
##i,0.04476340625523325,0.04476340625523325
like,0.006743182332757421,0.006743182332757421
non,0.02946148926785296,0.02946148926785296
##rel,-0.009981002610971719,0.009981002610971719
##ig,0.07051034414446235,0.07051034414446235
##i,0.04476340625523325,0.04476340625523325
jew,0.07534496471313269,0.07534496471313269
anti,-0.04061898789186717,0.04061898789186717
##se,0.12282963465354786,0.12282963465354786
##met,-0.022047719396694837,0.022047719396694837
chang,0.00957071466372486,0.00957071466372486
non,0.02946148926785296,0.02946148926785296
##rel,-0.009981002610971719,0.009981002610971719
##ig,0.07051034414446235,0.07051034414446235
##i,0.04476340625523325,0.04476340625523325
judaism,-0.013529422139552659,0.013529422139552659
si,-0.02840183983088837,0.02840183983088837
##lli,-0.00577631473895414,0.00577631473895414
anti,-0.04061898789186717,0.04061898789186717
##se,0.12282963465354786,0.12282963465354786
##met,-0.022047719396694837,0.022047719396694837
justin,-0.021672447361757604,0.021672447361757604
bono,-0.032377116178519134,0.032377116178519134
##mo,-0.028912731671808006,0.028912731671808006
del,-0.0529672192174295,0.0529672192174295
##et,-0.04519530359370697,0.04519530359370697
review,-0.11058714885831705,0.11058714885831705
justin,-0.021672447361757604,0.021672447361757604
bono,-0.032377116178519134,0.032377116178519134
##mo,-0.028912731671808006,0.028912731671808006
del,-0.0529672192174295,0.0529672192174295
##et,-0.04519530359370697,0.04519530359370697
review,-0.11058714885831705,0.11058714885831705
editor,0.01163853921770987,0.01163853921770987
ask,-0.00017443825591204078,0.00017443825591204078
del,-0.0529672192174295,0.0529672192174295
##et,-0.04519530359370697,0.04519530359370697
review,-0.11058714885831705,0.11058714885831705
justin,-0.021672447361757604,0.021672447361757604
bono,-0.032377116178519134,0.032377116178519134
##mo,-0.028912731671808006,0.028912731671808006
sin,0.004416081029548888,0.004416081029548888
##c,-0.01627802578024022,0.01627802578024022
close,0.0028075265002829317,0.0028075265002829317
del,-0.0529672192174295,0.0529672192174295
##et,-0.04519530359370697,0.04519530359370697
discuss,-0.013914063179210158,0.013914063179210158
speedy,-0.00042626495283476507,0.00042626495283476507
##del,-0.025172891740764695,0.025172891740764695
##et,-0.04519530359370697,0.04519530359370697
art,-0.007831490258593556,0.007831490258593556
##ic,-0.024268519939734442,0.024268519939734442
##l,-0.033473663640644365,0.033473663640644365
reason,-0.007861206388589573,0.007861206388589573
great,0.003534519145770112,0.003534519145770112
##li,-0.010615324877944404,0.010615324877944404
app,-0.005904377869632211,0.005904377869632211
##re,-0.02139525943714824,0.02139525943714824
##ci,-0.019465562414092624,0.019465562414092624
review,-0.11058714885831705,0.11058714885831705
love,-0.012230548980299648,0.012230548980299648
pleas,-0.0001220494402995397,0.0001220494402995397
ex,-0.0002778724165462709,0.0002778724165462709
##cus,-5.058233189245291e-06,5.058233189245291e-06
write,-0.00028141283502214494,0.00028141283502214494
el,6.972818691853282e-05,6.972818691853282e-05
##ab,3.32549840939969e-06,3.32549840939969e-06
##or,1.833354543536298e-05,1.833354543536298e-05
first,-6.645992151893254e-05,6.645992151893254e-05
lau,1.2734514928749419e-05,1.2734514928749419e-05
##nga,8.448919537798267e-05,8.448919537798267e-05
##g,8.569172037906673e-05,8.569172037906673e-05
english,0.00013587432038346167,0.00013587432038346167
con,-9.049583172432288e-05,9.049583172432288e-05
##tri,-2.8619222375155387e-05,2.8619222375155387e-05
##bu,-3.5127672092544326e-06,3.5127672092544326e-06
##t,-3.951116793883435e-05,3.951116793883435e-05
prove,-0.00019779109336896683,0.00019779109336896683
wrong,3.0733231255169445e-05,3.0733231255169445e-05
f,-2.6912432625426337e-05,2.6912432625426337e-05
##oc,3.4729344010986377e-05,3.4729344010986377e-05
##u,1.8486100654228818e-06,1.8486100654228818e-06
content,3.407077252344994e-05,3.407077252344994e-05
art,1.3235575986410058e-05,1.3235575986410058e-05
##ic,2.0844069998153916e-06,2.0844069998153916e-06
##l,1.4339533606815553e-05,1.4339533606815553e-05
editor,-4.8928063580800635e-05,4.8928063580800635e-05
pleas,-0.07600010488562031,0.07600010488562031
add,-0.13169356847501004,0.13169356847501004
non,0.0043223305411159195,0.0043223305411159195
##sen,-0.17093277319771963,0.17093277319771963
##s,0.2825530685818106,0.2825530685818106
wikipedia,0.08288777161172059,0.08288777161172059
con,-0.05206148253329475,0.05206148253329475
##si,-0.0010244364531603052,0.0010244364531603052
##d,0.0093279586399605,0.0093279586399605
van,0.04898224360931255,0.04898224360931255
##dal,0.14189638196391594,0.14189638196391594
would,0.08559595456953946,0.08559595456953946
like,0.10801599060769715,0.10801599060769715
ex,-0.05312164372359911,0.05312164372359911
##per,0.03130733424040014,0.03130733424040014
##i,-0.10547019718417337,0.10547019718417337
use,-0.11527036686725839,0.11527036686725839
sand,-0.1413109554433383,0.1413109554433383
##box,-0.1860189297765111,0.1860189297765111
thank,-0.01491490742594026,0.01491490742594026
