propn,propn_attribution
english,0.0035955692816894854
cricket,9.499285866824131e-06
joan,0.0
baez,0.0
bob,2.1858181220949407e-06
dylan,0.0
simon,1.4307854058914298e-06
garfunkel,0.0
mamas,0.0
tom,0.0
paxton,0.0
phil,1.8504707096319195e-06
ochs,0.0
gareth,0.0
owen,0.0
lms,0.0
joan,0.0
baez,0.0
lms,0.0
andre,0.0
aug,4.479237888178684e-06
pdt,0.0
qua,0.0
forumulation,0.0
axel,0.0
boldt,0.0
ummm,0.0
bible,0.0
belt,1.1435643630137145e-06
hell,1.065526608631323e-06
house,1.0322846811575584e-06
congo,0.0
mike,5.987863423340891e-07
hardy,5.9275629498007805e-08
physics,7.935724713737236e-06
institute,9.443357327762916e-07
kaiser,0.0
wilhelm,0.0
germany,7.075942877338356e-06
apr,0.0
fijians,0.0
fiji,0.0
malaysia,0.0
nazi,0.03328034703654344
germany,7.075942877338356e-06
england,9.786069614801783e-06
mav,0.0
may,0.0003758115345175181
greek,1.0906871805516232e-05
dictionary,0.0
bc,6.0713373289239915e-06
ce,2.3740141252773153e-05
may,0.0003758115345175181
schopenhauer,0.0
japan,5.898406915234572e-06
google,2.451362213191733e-06
e.g,0.0
us,4.276451176353923e-06
jun,0.0
steve,3.261999720725552e-06
april,9.875648522598582e-06
anon,0.0
july,4.3541117944008005e-06
lebanon,0.0
israel,8.581002518190034e-06
agence,0.0
france,5.653260180573826e-06
press,5.018203638327069e-06
london,1.919868344262402e-05
daily,6.1138133204642645e-06
post,0.006092930642430001
israel,8.581002518190034e-06
beirut,0.0
daily,6.1138133204642645e-06
star,1.237451954853935e-06
arabs,0.0
columbia,0.0
daily,6.1138133204642645e-06
spectator,0.0
saids,0.0
haaretz,0.0
english,0.0035955692816894854
edition,5.085611248838675e-06
august,1.5721266048586152e-06
american,0.011334346277659012
wadia,0.0
s,0.002237722512175259
australia,2.1165586711770882e-06
uriah,0.0
pml,0.0
th,3.2787288129998546e-06
god,0.0041310997221693626
iraq,9.071258601527152e-06
afghanistan,6.3770660699011236e-06
iraq,9.071258601527152e-06
afganistan,0.0
iran,2.6720467458477343e-06
syria,0.0
communist,5.525235174888091e-07
china,1.599527383049179e-05
north,2.4486604154994314e-06
korea,3.7259196939617453e-06
saudi,4.538876048152609e-06
arabia,0.0
cuba,0.0
liberia,0.0
